url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
https://www.justwatch.com/in/movie/garudan-2024, Garudan (2024),2024,"Crime, Mystery & Thriller, Action & Adventure",7.2,2h 13min,UA,India,"Amazon Prime Video , Amazon Prime Video , Amazon Video",Movie
https://www.justwatch.com/in/movie/the-intern, The Intern (2015),2015,"Comedy, Drama",7.1,2h 2min,UA,United States,"Apple TV , Jio Cinema , Netflix , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/tumbbad, Tumbbad (2018),2018,"Fantasy, Horror, Mystery & Thriller, Drama, Made in Europe",8.2,1h 53min,A,"India, Sweden",,Movie
https://www.justwatch.com/in/movie/logan, Logan (2017),2017,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",8.1,2h 3min,A,United States,"Apple TV , Hotstar , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/eternal-sunshine-of-the-spotless-mind, Eternal Sunshine of the Spotless Mind (2004),2004,"Science-Fiction, Drama, Romance",8.3,1h 48min,A,United States,"Netflix , Amazon Video",Movie
https://www.justwatch.com/in/movie/jawan, Jawan (2023),2023,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.9,2h 49min,UA,India,"Apple TV , Netflix , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/exhuma, Exhuma (2024),2024,"Mystery & Thriller, Horror",6.9,2h 14min,UA,South Korea,Bookmyshow,Movie
https://www.justwatch.com/in/movie/kakuda, Kakuda (2024),2024,"Comedy, Horror",5.4,1h 57min,UA,India,Zee5,Movie
https://www.justwatch.com/in/movie/k-g-f-chapter-1, K.G.F: Chapter 1 (2018),2018,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2,2h 36min,UA,India,Hotstar,Movie
https://www.justwatch.com/in/movie/kingsman-the-secret-service, Kingsman: The Secret Service (2014),2014,"Action & Adventure, Crime, Comedy, Mystery & Thriller",7.7,2h 9min,A,"United States, United Kingdom","Apple TV , Hotstar , Netflix , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/trisha-on-the-rocks, Trisha on the Rocks (2024),2024,"Romance, Comedy",5.7,2h 52min,UA,India,"Amazon Prime Video , Amazon Prime Video",Movie
